설치장소,주소,급속충전기(대),지원차종
서희스타힐스리버파크,"강원도 강릉시 회산로 344 (회산동, 서희스타힐스 리버파크 아파트)",1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
성덕동주민센터,강원도 강릉시 입암동 599,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
송정동주민센터,강원도 강릉시 송정동 161-2,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
옥계면사무소,강원도 강릉시 옥계면 현내리 310,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
이마트 강릉점,강원도 강릉시 송정동 612-11,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
입암6주공아파트,강원도 강릉시 입암동 709-1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
주문진해수욕장,강원도 강릉시 주문진읍 향호리 8-17,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
청송 아파트,"강원도 강릉시 하평2길 6 (포남동, 청송아파트 상가)",1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
포남2주공아파트,강원도 강릉시 포남동 1209,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
하이빌현대아파트,강원도 강릉시 교동 1759,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
해람중학교옆 공영주차장,강원도 강릉시 용강동 46-2,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
허균허난설헌기념공원,강원도 강릉시 초당동 390,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
홈플러스 강릉점,강원도 강릉시 옥천동 189,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
홍제동 공영주차장,강원도 강릉시 홍제동 157,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
홍제힐스테이트,강원도 강릉시 홍제동 1007,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강북문화예술회관,서울특별시 강북구 수유동 360-10,1,"SM3 Z.E,테슬라"
강북성북지사,서울특별시 강북구 미아동 190-1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강북성북지사(공용),서울특별시 강북구 미아동 190-1,6,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
래미안미아1차 아파트,서울특별시 강북구 미아동 797,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
미아동부센트레빌,서울특별시 강북구 미아동 474,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
미아한일유앤아이APT,서울특별시 강북구 미아동 1355,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
북서울꿈의숲,서울특별시 강북구 번동 90,2,"SM3 Z.E,테슬라"
해모로아파트,서울특별시 강북구 번동 139,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
효성네오인텔리안,서울특별시 강북구 번동 418-3,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
e편한세상염창,서울특별시 강서구 염창동 309,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
가덕도동 행정복지센터,부산광역시 강서구 성북동 229-1,1,"SM3 Z.E,테슬라"
강서경찰서,부산광역시 강서구 명지동 607-5,1,"SM3 Z.E,테슬라"
강서경찰서 민원인주차장,서울특별시 강서구 화곡동 980-27,1,"SM3 Z.E,테슬라"
강서구청 역세권 공영주차장,부산광역시 강서구 대저1동 2300,2,"SM3 Z.E,테슬라"
강서구청 주차장,부산광역시 강서구 낙동북로 477,2,"SM3 Z.E,테슬라"
강서브라이트센터,부산광역시 강서구 대저2동 1932-1,2,"SM3 Z.E,테슬라"
강서한강자이아파트,서울특별시 강서구 가양동 양천로55길 55,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
녹산산단 공영주차장,부산광역시 강서구 송정동 1759,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
마곡 이웰메디파크,서울특별시 강서구 마곡동 801-7,1,"SM3 Z.E,테슬라"
마곡13단지 힐스테이트마스터,서울특별시 강서구 마곡동 748,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
마곡수명산파크1단지,서울특별시 강서구 내발산동 742,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
마곡수명산파크3단지,서울특별시 강서구 내발산동 751,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
마곡수명산파크5단지,서울특별시 강서구 내발산동 749,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
마곡수명산파크6단지,서울특별시 강서구 내발산동 수명로2길 63,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
마곡수명산파크7단지,서울특별시 강서구 내발산동 수명로2가길 22,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
마곡수명산파크8단지,서울특별시 강서구 내발산동 745,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
마곡엠밸리11단지아파트,서울특별시 강서구 마곡동 공항대로 124,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
