노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
303,청주상주선,83.1,36.37495575,128.2722561,314168.6355,420402.4917
303,청주상주선,83.2,36.37407224,128.2739156,314318.8533,420306.4071
303,청주상주선,83.3,36.37393494,128.275015,314417.7199,420292.4729
303,청주상주선,83.4,36.37397701,128.2761263,314517.384,420298.4583
303,청주상주선,83.5,36.3741836,128.2772098,314614.3191,420322.67
303,청주상주선,83.6,36.37472702,128.2778057,314667.0034,420383.682
303,청주상주선,83.7,36.3747639,128.2793194,314802.7914,420389.5736
303,청주상주선,83.8,36.37497552,128.2804021,314899.6424,420414.3453
303,청주상주선,83.9,36.37512345,128.2814804,314996.1916,420432.0447
303,청주상주선,84,36.37524679,128.2825842,315095.0705,420447.047
303,청주상주선,84.1,36.37533023,128.2833259,315161.5041,420457.1907
303,청주상주선,84.2,36.37549344,128.2847919,315292.8284,420477.0517
303,청주상주선,84.3,36.37561675,128.2858958,315391.7075,420492.0538
303,청주상주선,84.4,36.37572977,128.2870013,315490.7504,420505.9182
303,청주상주선,84.5,36.3758229,128.2881097,315590.077,420517.5784
303,청주상주선,84.6,36.37587457,128.2888552,315656.9053,420524.2058
303,청주상주선,84.7,36.37594926,128.2903327,315789.3849,420534.2644
303,청주상주선,84.8,36.37598244,128.2914463,315889.2678,420539.2819
303,청주상주선,84.9,36.37599559,128.2925605,315989.2376,420542.0787
303,청주상주선,85,36.3759887,128.2936752,316089.284,420542.6533
303,청주상주선,85.1,36.37597338,128.2944223,316156.3518,420541.852
303,청주상주선,85.2,36.37593614,128.2959025,316289.241,420539.5
303,청주상주선,85.3,36.37590838,128.2970163,316389.237,420537.7605
303,청주상주선,85.4,36.3758806,128.2981301,316489.233,420536.0209
303,청주상주선,85.5,36.37585282,128.2992439,316589.229,420534.2814
303,청주상주선,85.6,36.37583454,128.2999907,316656.2762,420533.1552
303,청주상주선,85.7,36.37579721,128.3014716,316789.2213,420530.8023
303,청주상주선,85.8,36.3757694,128.3025854,316889.2175,420529.0627
303,청주상주선,85.9,36.37574157,128.3036992,316989.2137,420527.3232
303,청주상주선,86,36.37571373,128.304813,317089.21,420525.5836
303,청주상주선,86.1,36.37569544,128.3055592,317156.2005,420524.4584
303,청주상주선,86.2,36.37565803,128.3070406,317289.2027,420522.1045
303,청주상주선,86.3,36.37563016,128.3081544,317389.1991,420520.365
303,청주상주선,86.4,36.37560228,128.3092682,317489.1955,420518.6254
303,청주상주선,86.5,36.37557439,128.310382,317589.192,420516.8858
303,청주상주선,86.6,36.37555602,128.3111276,317656.1248,420515.7551
