sidoName,stationName,mangName,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value,khaiValue
충남,엄사면,도시대기,0.003,0.8,0.003,0.024,56,22,87
충남,평택당진항,항만,0.001,0.5,0.006,0.025,71,45,182
충남,대산항,항만,0.001,0.4,0.014,0.026,54,26,69
충남,장항항,항만,0.001,0.5,0.005,0.025,46,33,97
충남,서천읍,도시대기,0.002,0.7,0.004,0.017,33,19,69
충남,서면,도시대기,0.002,0.5,0.015,0.015,44,18,86
충남,장항읍,도시대기,0.003,0.6,0.007,0.022,46,27,90
충남,공주,도시대기,0.003,0.6,0.003,0.014,41,34,82
충남,탄천면,도시대기,0.003,0.5,0.004,0.015,48,33,95
충남,부여읍,도시대기,0.002,0.6,0.009,0.012,17,12,64
충남,독곶리,도시대기,0.004,0.4,0.039,0.007,23,9,58
충남,동문동,도시대기,0.004,0.9,0.004,0.039,53,27,86
충남,대산리,도시대기,0.003,0.5,0.018,0.021,30,15,56
충남,성연면,도시대기,0.003,0.5,0.005,0.019,31,13,55
충남,송산면,도시대기,0.008,0.5,0.021,0.02,46,27,87
충남,당진시청사,도시대기,,,,,,23,
충남,모종동,도시대기,0.004,0.8,0.004,0.033,58,23,82
충남,배방읍,도시대기,0.004,0.7,0.003,0.042,46,26,82
충남,도고면,도시대기,0.003,0.5,0.003,0.014,42,24,79
충남,둔포면,도시대기,0.004,0.6,0.004,0.036,60,37,97
