statNm,statId,chgerId,chgerType,addr,region_2depth_name,region_3depth_name,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,output,method,zcode,zscode,kind,kindDetail,parkingFree
부산사하우체국,HE001097,1,6,부산광역시 사하구 낙동대로 346,사하구,당리동,35.10116,128.9798,평일 09:00~18:00,HE,한국전기차충전서비스,한국전기차충전서비스,1522-1782,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26380,A0,A003,Y
부산 W-스퀘어,HM000051,1,4,부산광역시 남구 분포로 145,남구,용호동,35.13421108,129.1125583,24시간 이용가능,HM,휴맥스이브이,HUMAX EV,1800-3188,0,2.02E+13,,,,100,동시,26,26290,E0,E001,N
부산 W-스퀘어,HM000051,2,4,부산광역시 남구 분포로 145,남구,용호동,35.13421108,129.1125583,24시간 이용가능,HM,휴맥스이브이,HUMAX EV,1800-3188,0,2.02E+13,,,,100,동시,26,26290,E0,E001,N
부산 W-스퀘어,HM000051,3,4,부산광역시 남구 분포로 145,남구,용호동,35.13421108,129.1125583,24시간 이용가능,HM,휴맥스이브이,HUMAX EV,1800-3188,0,2.02E+13,,,,100,동시,26,26290,E0,E001,N
부산 W-스퀘어,HM000051,4,4,부산광역시 남구 분포로 145,남구,용호동,35.13421108,129.1125583,24시간 이용가능,HM,휴맥스이브이,HUMAX EV,1800-3188,0,2.02E+13,,,,100,동시,26,26290,E0,E001,N
부산 W-스퀘어,HM000051,5,4,부산광역시 남구 분포로 145,남구,용호동,35.13421108,129.1125583,24시간 이용가능,HM,휴맥스이브이,HUMAX EV,1800-3188,0,2.02E+13,,,,100,동시,26,26290,E0,E001,N
부산 W-스퀘어,HM000051,6,4,부산광역시 남구 분포로 145,남구,용호동,35.13421108,129.1125583,24시간 이용가능,HM,휴맥스이브이,HUMAX EV,1800-3188,0,2.02E+13,,,,100,동시,26,26290,E0,E001,N
부산은행 본점,HM000052,1,4,부산광역시 남구 문현금융로 30,남구,문현동,35.14550178,129.0658235,24시간 이용가능,HM,휴맥스이브이,HUMAX EV,1800-3188,0,2.02E+13,,,,100,동시,26,26290,G0,G004,Y
부산은행 본점,HM000052,2,4,부산광역시 남구 문현금융로 30,남구,문현동,35.14550178,129.0658235,24시간 이용가능,HM,휴맥스이브이,HUMAX EV,1800-3188,0,2.02E+13,,,,100,동시,26,26290,G0,G004,Y
수영역 디온플레이스어반 오피스텔,JE070052,1,6,부산광역시 수영구 수영로 712,수영구,광안동,35.16778548,129.1174426,24시간 이용가능,JE,제주전기자동차서비스,제주전기자동차서비스,1670-2690,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26500,H0,H001,Y
정관골프연습장,KC000007,1,6,부산광역시 기장군 정관읍 곰내길 593-16,기장군,정관읍,35.316019,129.167173,24시간 이용가능,KC,한국과컴퓨터,한국컴퓨터,041-589-3300,0,2.02E+13,,,,50,단독,26,26710,E0,E004,Y
(주)응카,KE000593,1,4,부산광역시 강서구 대저중앙로394번길 32,강서구,대저1동,35.2194013,128.988252,"주중 08:00~19:00, 주말 09:00~18:00",KE,한국전기차인프라기술,한국전기차인프라기술(주),1877-6546,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26440,H0,H003,Y
(주)응카,KE000593,2,4,부산광역시 강서구 대저중앙로394번길 32,강서구,대저1동,35.2194013,128.988252,"주중 08:00~19:00, 주말 09:00~18:00",KE,한국전기차인프라기술,한국전기차인프라기술(주),1877-6546,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26440,H0,H003,Y
엘에스일렉트릭 부산사업장,KE000622,1,4,부산광역시 강서구 화전산단5로117번길 35,강서구,화전동,35.1113321,128.8752,평일 09:00~18:00,KE,한국전기차인프라기술,한국전기차인프라기술,1877-6546,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26440,H0,H003,Y
엘에스일렉트릭 부산사업장,KE000622,2,4,부산광역시 강서구 화전산단5로117번길 35,강서구,화전동,35.1113321,128.8752,평일 09:00~18:00,KE,한국전기차인프라기술,한국전기차인프라기술,1877-6546,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26440,H0,H003,Y
항만 근로자 숙소,KL001797,3,4,부산광역시 강서구 신항로 96-87,강서구,성북동,35.086159,128.8304687,24시간 이용가능,KL,클린일렉스,(주)클린일렉스,1811-1350,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26440,A0,A003,Y
(주)피아크,KL001881,1,4,부산광역시 영도구 해양로195번길 180,영도구,동삼동,35.0863306,129.0767637,24시간 이용가능,KL,클린일렉스,(주)클린일렉스,1811-1350,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26200,A0,A003,Y
부산 사직 골프랜드,KL002254,7,4,부산광역시 연제구 경기장로 21,연제구,거제동,35.18792,129.05348,24시간 이용가능,KL,클린일렉스,(주)클린일렉스,1811-1350,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26470,E0,E004,Y
부산울산경남지역본부,KN000001,1,6,부산광역시 북구 낙동북로681번길 34,북구,구포동,35.20194,129.0002,24시간 이용가능,KN,부산울산경남지역본부,한국환경공단,null,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,,,,
부산울산경남지역본부,KN000001,2,6,부산광역시 북구 낙동북로681번길 34,북구,구포동,35.20194,129.0002,24시간 이용가능,KN,부산울산경남지역본부,한국환경공단,null,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,,,,
부산문화회관,KP002533,2,4,부산광역시 남구 대연동 848-4,남구,대연동,35.12718594,129.0934773,09:00~18:00,KP,한국전력공사,한국전력,1899-2100,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26290,J0,J005,Y
북부산지사(공용),KP005261,2,4,부산광역시 사상구 백양대로700번길 24,사상구,덕포동,35.1689,128.9897,24시간 이용가능,KP,한국전력공사,한국전력,1899-2100,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26530,A0,A003,Y
LGL 부산중부MINI Sub터미널,LDL00001,1,4,부산광역시 남구 우암로 307,남구,문현동,35.1292021,129.0668032,평일 09:00~18:00,LD,롯데정보통신,롯데정보통신,02-2028-8558,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26290,G0,G004,Y
LGL 부산중부MINI Sub터미널,LDL00001,2,4,부산광역시 남구 우암로 307,남구,문현동,35.1292021,129.0668032,평일 09:00~18:00,LD,롯데정보통신,롯데정보통신,02-2028-8558,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26290,G0,G004,Y
부산시 강서구 삼성전기부산사업장(직원전용),PI510218,1,4,부산광역시 강서구 녹산산업중로 333,강서구,송정동,35.096103,128.8577516,비공개(직원전용),PI,차지비,차지비,1600-4047,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26440,H0,H003,Y
부산시 강서구 삼성전기부산사업장(직원전용),PI510218,2,4,부산광역시 강서구 녹산산업중로 333,강서구,송정동,35.096103,128.8577516,비공개(직원전용),PI,차지비,차지비,1600-4047,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26440,H0,H003,Y
부산시 강서구 삼성전기부산사업장(직원전용),PI510218,3,4,부산광역시 강서구 녹산산업중로 333,강서구,송정동,35.096103,128.8577516,비공개(직원전용),PI,차지비,차지비,1600-4047,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26440,H0,H003,Y
부산시 강서구 삼성전기부산사업장(직원전용),PI510218,4,4,부산광역시 강서구 녹산산업중로 333,강서구,송정동,35.096103,128.8577516,비공개(직원전용),PI,차지비,차지비,1600-4047,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26440,H0,H003,Y
좋은삼선병원,PW011222,1,6,부산광역시 사상구 가야대로 326,사상구,주례동,35.15015245,129.007808,24시간 이용가능,PW,파워큐브,파워큐브코리아,1833-8017,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26530,I0,I001,Y
마리나주유소,SK480610,1,1,부산광역시 해운대구 해운대로 345,해운대구,우동,35.17155136,129.1353044,06:00~24:00,SK,SK에너지,SK에너지,1588-0051/1599-0051,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,단독,26,26350,E0,E007,Y
마리나주유소,SK480610,2,4,부산광역시 해운대구 해운대로 345,해운대구,우동,35.17155136,129.1353044,06:00~24:00,SK,SK에너지,SK에너지,1588-0051/1599-0051,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,단독,26,26350,E0,E007,Y
돌고래주유소,SK480880,1,5,부산광역시 해운대구 해운대로573번길 16,해운대구,우동,35.16176747,129.154625,06:00~24:00,SK,SK에너지,SK에너지,1588-0051/1599-0051,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26350,E0,E007,Y
돌고래주유소,SK480880,2,5,부산광역시 해운대구 해운대로573번길 16,해운대구,우동,35.16176747,129.154625,06:00~24:00,SK,SK에너지,SK에너지,1588-0051/1599-0051,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26350,E0,E007,Y
기아자동차 대신대리점,ST261402,2,4,부산광역시 서구 보수대로 183,서구,동대신동,35.111645,129.021235,24시간 이용가능,ST,에스트래픽,에스트래픽,1566-1704,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26140,F0,F001,Y
보은산업(운수사 전용),ST262006,1,4,부산광역시 영도구 남항남로 50,영도구,남항동,35.0839064,129.0391542,24시간 이용가능,ST,에스트래픽,에스트래픽,1566-1704,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26200,H0,H003,N
보은산업(운수사 전용),ST262006,2,4,부산광역시 영도구 남항남로 50,영도구,남항동,35.0839064,129.0391542,24시간 이용가능,ST,에스트래픽,에스트래픽,1566-1704,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26200,H0,H003,N
보은산업(운수사 전용),ST262006,3,4,부산광역시 영도구 남항남로 50,영도구,남항동,35.0839064,129.0391542,24시간 이용가능,ST,에스트래픽,에스트래픽,1566-1704,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26200,H0,H003,N
보은산업(운수사 전용),ST262006,4,4,부산광역시 영도구 남항남로 50,영도구,남항동,35.0839064,129.0391542,24시간 이용가능,ST,에스트래픽,에스트래픽,1566-1704,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26200,H0,H003,N
롯데백화점 부산점,ST262306,1,5,부산광역시 부산진구 가야대로 772,부산진구,부전동,35.15687,129.056647,24시간 이용가능,ST,에스트래픽,에스트래픽,1566-1704,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26230,E0,E002,Y
롯데백화점 부산점,ST262306,2,5,부산광역시 부산진구 가야대로 772,부산진구,부전동,35.15687,129.056647,24시간 이용가능,ST,에스트래픽,에스트래픽,1566-1704,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26230,E0,E002,Y
